Tenant ID,School NAme,School Code,District,School Type,Location TYpe
58,BARRASI HIGH SCHOOL,SCH660028,GHATAGAON,,
58,JYOTIPUR HIGH SCHOOL,SCH944546,CHAMPUA,,
58,"S.J.BIDYA PITHA,SUNAPENTH",SCH328036,HARICHANDANPUR,,
58,SALANIA HIGH SCHOOL,SCH375333,HATADIHI,,
58,S.M.GIRLS HIGH SCHOOL,SCH856876,HATADIHI,,
58,BADAJAMUPARI G.P.HIGH SCHOOL,SCH164898,GHATAGAON,,
58,C.B.HIGH SCHOOL CHAUTHIA,SCH121028,JHUMPURA,,
58,"A.B.A.HIGH SCHOOL, KHUNTAPADA",SCH751809,JHUMPURA,,
58,KSHETRAMOHAN BIDYAPITHA,SCH200733,ANANDAPUR MPL,,
58,GOVT. GIRLS HIGH SCHOOL(SSD),SCH772476,BANSPAL,,
58,"GOVT.U.G. HIGH SCHOOL(SSD),BASANTPUR",SCH104180,JHUMPURA,,
58,UKHUNDA HIGH SCHOOL,SCH769960,JHUMPURA,,
58,NARADAPUR HIGH SCHOOL,SCH906194,JHUMPURA,,
58,B.D HIGH SCHOOL,SCH236551,JODA,,
58,"GOVT.U.G. HIGH SCHOOL,BALAGODA",SCH731644,JODA,,
58,ATHAPALI HIGH SCHOOL,SCH400639,KEONJHAR,,
58,N.S.POLICE HIGH SCHOOL,SCH678756,KEONJHAR MPL,,
58,CHARCHIKA HIGH SCHOOL,SCH336275,TELKOI,,
58,CHHAMUNDA G.P.HIGH SCHOOL,SCH280214,TELKOI,,
58,S.N. HIGH SCHOOL TARTARA,SCH386292,ANANDAPUR,,
58,KUNDALAI HIGH SCHOOL,SCH249851,ANANDAPUR,,
58,PANCHAPALLI HIGH SCHOOL,SCH518837,ANANDAPUR,,
58,SALABANI HIGH SCHOOL,SCH949407,ANANDAPUR,,
58,L.D.B. BIDYAPITHA,SCH583852,ANANDAPUR,,
58,SALABANI  G.P GIRLS HIGH SCHOOL,SCH562691,ANANDAPUR,,
58,KANTIPAL HIGH SCHOOL,SCH580477,ANANDAPUR,,
58,DHAKOTHA HIGH SCHOOL,SCH398276,ANANDAPUR,,
58,BRAJABANDHU BIDYAPITHA,SCH225244,ANANDAPUR MPL,,
58,"SATYANARAYAN HIGH SCHOOL, PADMAPUR",SCH661183,ANANDAPUR MPL,,
58,GOVT. GIRLS HIGH SCHOOL,SCH205701,ANANDAPUR MPL,,
58,"B.N.HIGH SCHOOL, ANANDAPUR",SCH479707,ANANDAPUR MPL,,
